EmployeeID,Name,Age,Gender,Department,JobRole,Salary,HireDate,ExitDate,PerformanceRating
EMP001,Employee_1,37,Female,Sales,Sales Rep,69628,2019-07-26,,4
EMP002,Employee_2,23,Male,Sales,Sales Director,61140,2020-06-14,,4
EMP003,Employee_3,50,Male,Marketing,CMO,93618,2021-02-13,,1
EMP004,Employee_4,31,Male,HR,L&D Specialist,64110,2021-10-10,2024-05-25,2
EMP005,Employee_5,24,Male,Operations,COO,97823,2023-02-25,,5
EMP006,Employee_6,45,Female,IT,IT Support,97837,2020-02-27,,1
EMP007,Employee_7,36,Non-binary,Marketing,SEO Specialist,61619,2022-04-06,,4
EMP008,Employee_8,35,Male,Operations,Project Manager,93920,2020-12-29,,4
EMP009,Employee_9,56,Female,Sales,Sales Director,102784,2020-09-29,2023-05-14,3
EMP010,Employee_10,25,Female,Marketing,SEO Specialist,70010,2018-05-12,,3
EMP011,Employee_11,58,Female,Sales,Account Manager,112433,2021-07-12,2024-10-26,3
EMP012,Employee_12,37,Male,Legal,Paralegal,104438,2022-10-21,,3
EMP013,Employee_13,27,Female,Marketing,Content Strategist,104530,2018-07-12,,3
EMP014,Employee_14,46,Female,HR,L&D Specialist,75009,2023-04-02,,5
EMP015,Employee_15,56,Female,Engineering,DevOps Engineer,109973,2021-10-25,2024-09-29,3
EMP016,Employee_16,33,Non-binary,Engineering,QA Engineer,141542,2019-03-12,,3
EMP017,Employee_17,32,Male,Marketing,Content Strategist,90348,2023-12-13,,4
EMP018,Employee_18,45,Male,Legal,Legal Counsel,110306,2020-09-07,2024-05-10,5
EMP019,Employee_19,56,Female,Sales,BDR,105189,2019-05-31,2022-07-27,5
EMP020,Employee_20,60,Female,HR,HR Manager,77730,2020-05-17,,4
EMP021,Employee_21,45,Male,Marketing,SEO Specialist,83711,2023-10-21,,3
EMP022,Employee_22,57,Male,Sales,Sales Manager,70080,2020-06-21,2024-12-06,4
EMP023,Employee_23,43,Female,Marketing,Marketing Analyst,59643,2023-10-07,,4
EMP024,Employee_24,58,Male,Marketing,CMO,92762,2023-04-21,,3
EMP025,Employee_25,49,Male,IT,Network Engineer,83219,2022-10-01,,5
EMP026,Employee_26,43,Male,Engineering,DevOps Engineer,89322,2020-10-15,2024-04-15,3
EMP027,Employee_27,37,Male,IT,Network Engineer,117310,2018-11-05,,5
EMP028,Employee_28,56,Female,Sales,Sales Rep,109789,2018-03-02,,5
EMP029,Employee_29,52,Male,Marketing,Content Strategist,69008,2022-07-01,,3
EMP030,Employee_30,51,Male,Engineering,Data Engineer,112388,2022-09-29,,4
EMP031,Employee_31,35,Male,Legal,Paralegal,77665,2018-09-07,,2
EMP032,Employee_32,55,Female,Legal,Contract Manager,90635,2018-08-21,,2
EMP033,Employee_33,37,Female,HR,HR Generalist,76461,2019-05-07,,4
EMP034,Employee_34,59,Male,Engineering,ML Engineer,149085,2023-11-12,,3
EMP035,Employee_35,30,Male,Operations,Project Manager,94019,2021-05-13,,5
EMP036,Employee_36,58,Male,Sales,Sales Rep,61552,2018-10-28,,4
EMP037,Employee_37,37,Female,HR,HR Manager,74217,2021-03-13,2024-09-25,4
EMP038,Employee_38,28,Male,Engineering,ML Engineer,92601,2020-12-19,2022-01-22,4
EMP039,Employee_39,35,Male,HR,HR Manager,72471,2020-04-13,,5
EMP040,Employee_40,25,Female,Legal,Compliance Officer,82097,2022-10-01,,1
EMP041,Employee_41,38,Female,Operations,Project Manager,60589,2022-12-15,,3
EMP042,Employee_42,31,Male,Engineering,DevOps Engineer,146511,2018-05-28,,4
EMP043,Employee_43,41,Male,HR,L&D Specialist,73897,2018-06-13,,3
EMP044,Employee_44,57,Male,Marketing,Marketing Analyst,81632,2019-09-26,,3
EMP045,Employee_45,23,Female,HR,Recruiter,61754,2021-09-22,,3
EMP046,Employee_46,28,Male,Marketing,SEO Specialist,80070,2018-06-08,,3
EMP047,Employee_47,36,Male,Legal,Compliance Officer,99219,2018-04-07,,3
EMP048,Employee_48,39,Non-binary,Finance,Financial Analyst,88012,2023-09-18,,5
EMP049,Employee_49,38,Male,Operations,Operations Analyst,61702,2020-12-23,2024-10-24,3
EMP050,Employee_50,54,Female,Operations,Ops Manager,57578,2022-04-27,,3
EMP051,Employee_51,56,Male,Engineering,Data Engineer,100825,2022-01-31,,5
EMP052,Employee_52,29,Male,Operations,COO,97169,2021-05-15,,4
EMP053,Employee_53,57,Female,Operations,Ops Manager,58341,2020-02-25,,5
EMP054,Employee_54,47,Female,HR,HRBP,85909,2018-01-02,,3
EMP055,Employee_55,35,Male,Operations,Ops Manager,83500,2023-04-23,,5
EMP056,Employee_56,43,Male,HR,HR Generalist,56120,2020-08-20,,3
EMP057,Employee_57,37,Male,Marketing,Content Strategist,86138,2018-10-26,,5
EMP058,Employee_58,37,Female,Marketing,Growth Manager,64671,2018-01-23,,5
EMP059,Employee_59,55,Male,Sales,BDR,85444,2018-07-25,,5
EMP060,Employee_60,51,Male,Sales,BDR,98750,2023-12-16,,4
EMP061,Employee_61,54,Female,Legal,Contract Manager,125933,2023-01-01,,4
EMP062,Employee_62,37,Male,Legal,General Counsel,106347,2023-11-06,,3
EMP063,Employee_63,37,Female,Legal,Legal Counsel,105614,2021-10-07,,4
EMP064,Employee_64,31,Male,HR,Recruiter,64021,2018-09-21,,3
EMP065,Employee_65,48,Male,Legal,General Counsel,121049,2018-03-22,,4
EMP066,Employee_66,44,Male,IT,IT Manager,79569,2022-05-17,,5
EMP067,Employee_67,56,Female,IT,CTO,112420,2020-06-22,,3
EMP068,Employee_68,47,Male,Legal,Legal Counsel,91632,2023-03-30,,5
EMP069,Employee_69,23,Female,Engineering,Data Engineer,86003,2022-10-22,2024-12-31,3
EMP070,Employee_70,51,Male,Finance,CFO,86420,2021-10-14,,3
EMP071,Employee_71,52,Female,IT,SysAdmin,61270,2018-08-02,,3
EMP072,Employee_72,37,Female,Sales,Sales Rep,68065,2018-03-25,,3
EMP073,Employee_73,35,Female,Legal,Legal Counsel,130952,2020-11-15,,3
EMP074,Employee_74,28,Non-binary,Sales,Account Manager,92924,2018-04-16,,4
EMP075,Employee_75,34,Non-binary,IT,IT Manager,64980,2020-09-21,2024-12-31,3
EMP076,Employee_76,44,Female,Sales,Sales Director,89913,2022-10-21,,2
EMP077,Employee_77,53,Female,Operations,Operations Analyst,56916,2022-11-11,,4
EMP078,Employee_78,55,Male,Legal,Paralegal,105400,2023-06-04,,4
EMP079,Employee_79,27,Female,Finance,Controller,83279,2023-01-21,,3
EMP080,Employee_80,42,Male,IT,SysAdmin,71917,2023-06-21,2024-12-31,3
EMP081,Employee_81,34,Male,Finance,Budget Analyst,70610,2020-09-15,,3
EMP082,Employee_82,53,Female,Marketing,Growth Manager,84371,2018-03-12,2019-12-05,3
EMP083,Employee_83,45,Female,Marketing,SEO Specialist,86015,2023-12-15,,5
EMP084,Employee_84,39,Female,Operations,Logistics Coord,70094,2020-10-26,,4
EMP085,Employee_85,33,Female,Operations,Operations Analyst,62552,2020-06-05,,3
EMP086,Employee_86,40,Female,Finance,Financial Analyst,79908,2022-01-18,2022-08-14,4
EMP087,Employee_87,25,Male,HR,HR Manager,86264,2021-04-11,,2
EMP088,Employee_88,58,Female,Legal,Legal Counsel,107268,2023-04-07,,3
EMP089,Employee_89,52,Non-binary,Engineering,QA Engineer,89953,2018-09-25,,2
EMP090,Employee_90,58,Male,Engineering,Software Engineer,114824,2018-12-15,,2
EMP091,Employee_91,36,Female,IT,CTO,110835,2023-11-11,,5
EMP092,Employee_92,41,Non-binary,Finance,Budget Analyst,102265,2018-09-04,,4
EMP093,Employee_93,27,Male,Marketing,Content Strategist,65292,2020-09-09,2021-08-08,3
EMP094,Employee_94,52,Female,IT,IT Manager,79087,2018-05-14,,4
EMP095,Employee_95,38,Female,Legal,Legal Counsel,95928,2022-10-08,2024-07-09,4
EMP096,Employee_96,32,Male,Finance,Accountant,116945,2021-06-13,,4
EMP097,Employee_97,41,Male,Finance,CFO,110857,2022-07-07,,4
EMP098,Employee_98,24,Male,Legal,General Counsel,126626,2021-08-13,,1
EMP099,Employee_99,23,Female,Marketing,CMO,105119,2021-01-08,,4
EMP100,Employee_100,50,Female,HR,L&D Specialist,68229,2020-01-14,,3
EMP101,Employee_101,48,Male,Legal,Legal Counsel,113687,2021-08-08,,5
EMP102,Employee_102,40,Female,Operations,Ops Manager,93423,2022-06-29,,4
EMP103,Employee_103,42,Male,Legal,Legal Counsel,85194,2022-07-14,,4
EMP104,Employee_104,25,Male,Engineering,ML Engineer,99586,2023-10-25,,4
EMP105,Employee_105,57,Male,Legal,Legal Counsel,87172,2021-03-25,,4
EMP106,Employee_106,60,Non-binary,Sales,Sales Rep,107383,2020-09-07,,3
EMP107,Employee_107,36,Male,Engineering,ML Engineer,89871,2023-03-06,,4
EMP108,Employee_108,40,Non-binary,HR,L&D Specialist,83349,2021-01-24,,3
EMP109,Employee_109,31,Male,Legal,Paralegal,120277,2020-02-20,,4
EMP110,Employee_110,48,Male,HR,HR Generalist,72274,2023-09-11,,1
EMP111,Employee_111,53,Female,Finance,Budget Analyst,121705,2019-09-01,,3
EMP112,Employee_112,46,Female,Operations,COO,79841,2021-08-11,,5
EMP113,Employee_113,48,Male,Marketing,CMO,57860,2021-07-27,,4
EMP114,Employee_114,31,Non-binary,IT,IT Manager,92461,2018-06-01,2022-03-20,3
EMP115,Employee_115,51,Male,Sales,BDR,56005,2019-08-14,,4
EMP116,Employee_116,38,Male,HR,HR Generalist,72187,2022-06-17,,5
EMP117,Employee_117,53,Female,IT,SysAdmin,117172,2018-05-28,,3
EMP118,Employee_118,49,Female,Finance,Accountant,129116,2019-02-08,,4
EMP119,Employee_119,41,Male,Sales,BDR,114206,2018-04-29,2019-02-17,3
EMP120,Employee_120,55,Male,Operations,Ops Manager,77004,2020-01-08,2020-12-14,4
EMP121,Employee_121,53,Female,IT,CTO,119823,2019-08-10,,4
EMP122,Employee_122,51,Female,Legal,Compliance Officer,107700,2019-10-10,2022-03-15,5
EMP123,Employee_123,51,Female,Finance,CFO,120397,2021-05-22,2024-01-14,5
EMP124,Employee_124,44,Male,Sales,Account Manager,92670,2021-04-26,,3
EMP125,Employee_125,25,Male,IT,SysAdmin,119678,2023-07-28,,5
EMP126,Employee_126,36,Female,Marketing,CMO,96721,2020-02-18,,4
EMP127,Employee_127,24,Female,HR,HR Generalist,70246,2022-12-11,2024-12-31,4
EMP128,Employee_128,48,Male,Sales,Sales Manager,66510,2020-04-02,2023-10-08,5
EMP129,Employee_129,39,Female,Operations,COO,104425,2019-11-05,,4
EMP130,Employee_130,43,Female,Legal,Compliance Officer,85095,2023-04-03,,2
