EmployeeID,Name,Age,Gender,Department,JobRole,Salary,HireDate,ExitDate,PerformanceRating
EMP001,Employee_1,30,Non-binary,Engineering,DevOps Engineer,97807,2023-01-15,,4
EMP002,Employee_2,26,Non-binary,Marketing,Marketing Manager,40830,2021-01-09,,4
EMP003,Employee_3,27,Female,Sales,Account Manager,55053,2020-10-19,,3
EMP004,Employee_4,47,Male,Marketing,Content Writer,102224,2022-11-03,2025-02-11,3
EMP005,Employee_5,24,Female,Sales,Account Manager,76801,2023-07-14,,1
EMP006,Employee_6,44,Female,Engineering,QA Engineer,70546,2023-05-12,,2
EMP007,Employee_7,56,Non-binary,HR,HR Specialist,87159,2020-11-27,,2
EMP008,Employee_8,46,Non-binary,Engineering,DevOps Engineer,54951,2021-08-02,,2
EMP009,Employee_9,44,Non-binary,Operations,Operations Manager,73327,2018-06-17,,3
EMP010,Employee_10,47,Female,HR,HR Manager,53616,2021-01-03,2023-05-12,1
EMP011,Employee_11,27,Male,Sales,Sales Representative,44468,2022-11-25,,4
EMP012,Employee_12,23,Non-binary,Marketing,Content Writer,89220,2022-02-09,,5
EMP013,Employee_13,55,Male,Operations,Operations Manager,71360,2019-05-04,,1
EMP014,Employee_14,35,Non-binary,Marketing,Marketing Manager,99354,2019-05-03,,2
EMP015,Employee_15,50,Female,Engineering,Technical Lead,55393,2020-02-17,,3
EMP016,Employee_16,56,Non-binary,HR,HR Specialist,106053,2022-01-10,,2
EMP017,Employee_17,26,Female,Operations,Project Manager,74443,2020-05-25,,3
EMP018,Employee_18,48,Non-binary,Engineering,Technical Lead,61695,2020-05-21,,5
EMP019,Employee_19,37,Female,Operations,Operations Manager,45412,2022-02-22,2025-07-22,5
EMP020,Employee_20,35,Male,Finance,Financial Analyst,92541,2022-01-09,,1
EMP021,Employee_21,30,Female,Marketing,SEO Specialist,95665,2023-09-18,,4
EMP022,Employee_22,57,Non-binary,HR,Recruiter,79540,2019-10-11,,2
EMP023,Employee_23,54,Non-binary,Finance,Financial Analyst,59941,2022-01-30,,5
EMP024,Employee_24,60,Female,Finance,Financial Analyst,61977,2021-03-07,,1
EMP025,Employee_25,53,Non-binary,Operations,Coordinator,45657,2018-04-15,,5
EMP026,Employee_26,36,Male,Operations,Project Manager,79984,2018-09-29,,4
EMP027,Employee_27,33,Male,Finance,Financial Analyst,55645,2019-11-06,,4
EMP028,Employee_28,22,Female,HR,Recruiter,87542,2022-12-16,,2
EMP029,Employee_29,27,Male,Finance,Accountant,43794,2018-02-05,,2
EMP030,Employee_30,23,Female,Operations,Coordinator,69803,2019-07-07,,5
EMP031,Employee_31,39,Non-binary,Operations,Project Manager,77231,2021-05-06,2022-05-30,2
EMP032,Employee_32,52,Female,Marketing,Content Writer,80189,2021-05-09,2025-04-13,1
EMP033,Employee_33,34,Male,HR,HR Manager,88802,2019-01-27,,1
EMP034,Employee_34,28,Female,Engineering,DevOps Engineer,79509,2019-05-29,,3
EMP035,Employee_35,60,Female,Operations,Operations Manager,47983,2018-12-22,,2
EMP036,Employee_36,48,Male,Marketing,SEO Specialist,110116,2021-04-27,,4
EMP037,Employee_37,48,Male,Marketing,Marketing Manager,117693,2023-09-10,,5
EMP038,Employee_38,32,Male,Sales,Sales Representative,104720,2021-05-15,,5
EMP039,Employee_39,35,Non-binary,HR,HR Specialist,86797,2023-05-13,,2
EMP040,Employee_40,38,Non-binary,Engineering,DevOps Engineer,107159,2022-01-29,,4
EMP041,Employee_41,27,Male,Finance,Finance Manager,98667,2021-10-18,,3
EMP042,Employee_42,45,Non-binary,HR,Recruiter,106383,2022-06-27,,3
EMP043,Employee_43,33,Male,HR,HR Specialist,84063,2020-01-18,2023-12-31,5
EMP044,Employee_44,32,Female,HR,HR Manager,92773,2018-08-09,2020-10-24,3
EMP045,Employee_45,31,Non-binary,Operations,Coordinator,82943,2023-01-11,,1
EMP046,Employee_46,22,Female,Operations,Project Manager,98093,2023-11-09,,1
EMP047,Employee_47,60,Female,Finance,Accountant,61057,2022-08-11,,5
EMP048,Employee_48,52,Non-binary,HR,HR Manager,117654,2020-03-27,,3
EMP049,Employee_49,44,Female,Operations,Coordinator,70372,2022-12-23,,3
EMP050,Employee_50,51,Non-binary,Engineering,Software Engineer,68070,2019-08-10,,2
EMP051,Employee_51,58,Male,Finance,Finance Manager,73954,2022-09-24,,2
EMP052,Employee_52,58,Male,Marketing,SEO Specialist,73682,2019-03-05,,4
EMP053,Employee_53,52,Non-binary,HR,Recruiter,77676,2018-08-08,,1
EMP054,Employee_54,25,Male,Engineering,DevOps Engineer,77890,2023-01-01,,4
EMP055,Employee_55,53,Non-binary,HR,HR Specialist,98784,2018-11-23,,4
EMP056,Employee_56,29,Female,Marketing,Marketing Manager,40254,2020-10-22,,4
EMP057,Employee_57,54,Non-binary,Marketing,Content Writer,61178,2021-05-13,2025-02-03,3
EMP058,Employee_58,39,Male,Sales,Account Manager,117664,2021-03-25,,2
EMP059,Employee_59,28,Female,Marketing,SEO Specialist,102706,2019-11-06,,5
EMP060,Employee_60,28,Male,Marketing,SEO Specialist,41958,2022-01-25,,3
EMP061,Employee_61,44,Non-binary,Sales,Account Manager,49818,2018-09-03,,1
EMP062,Employee_62,33,Male,Engineering,Technical Lead,74714,2020-09-25,,4
EMP063,Employee_63,34,Female,Marketing,SEO Specialist,82554,2018-07-23,,5
EMP064,Employee_64,30,Female,Marketing,Content Writer,91302,2021-08-31,2022-11-12,2
EMP065,Employee_65,55,Non-binary,Engineering,Software Engineer,66171,2022-06-17,,5
EMP066,Employee_66,29,Male,Operations,Project Manager,119003,2022-03-12,,4
EMP067,Employee_67,54,Male,Marketing,Marketing Manager,88761,2020-08-08,,1
EMP068,Employee_68,38,Female,HR,HR Manager,97320,2021-07-10,,3
EMP069,Employee_69,47,Female,Sales,Sales Executive,92397,2022-02-14,2025-10-05,5
EMP070,Employee_70,29,Male,Marketing,Marketing Manager,64641,2023-09-15,,4
EMP071,Employee_71,59,Female,Finance,Financial Analyst,108572,2019-07-05,,4
EMP072,Employee_72,55,Non-binary,Sales,Account Manager,68487,2019-02-20,,3
EMP073,Employee_73,54,Non-binary,Sales,Sales Executive,118490,2018-06-10,,4
EMP074,Employee_74,41,Non-binary,Marketing,SEO Specialist,43480,2023-02-20,,2
EMP075,Employee_75,29,Male,Finance,Financial Analyst,101724,2019-09-14,,3
EMP076,Employee_76,50,Non-binary,Sales,Account Manager,92377,2022-12-07,,4
EMP077,Employee_77,45,Non-binary,Operations,Operations Manager,57728,2021-12-25,,3
EMP078,Employee_78,39,Female,HR,HR Specialist,54523,2021-03-08,,2
EMP079,Employee_79,48,Female,Operations,Coordinator,76317,2023-09-15,,5
EMP080,Employee_80,31,Non-binary,Marketing,SEO Specialist,103226,2020-01-07,,4
EMP081,Employee_81,49,Non-binary,Engineering,Software Engineer,109526,2022-03-18,,1
EMP082,Employee_82,57,Non-binary,Finance,Finance Manager,62526,2020-12-05,,5
EMP083,Employee_83,58,Non-binary,Operations,Project Manager,57638,2019-12-22,,5
EMP084,Employee_84,50,Non-binary,Marketing,Content Writer,47336,2019-03-18,2020-05-08,2
EMP085,Employee_85,27,Male,Operations,Coordinator,104594,2021-12-23,,4
EMP086,Employee_86,37,Female,Sales,Sales Executive,46411,2018-12-08,2020-12-26,1
EMP087,Employee_87,48,Female,Operations,Coordinator,86371,2023-09-26,,2
EMP088,Employee_88,33,Non-binary,Operations,Coordinator,68069,2021-06-14,,5
EMP089,Employee_89,55,Non-binary,Finance,Finance Manager,80286,2019-12-31,,4
EMP090,Employee_90,34,Male,HR,HR Manager,118021,2023-07-04,,5
EMP091,Employee_91,32,Non-binary,Finance,Financial Analyst,47356,2022-07-29,,5
EMP092,Employee_92,30,Female,Operations,Project Manager,100568,2023-05-25,,1
EMP093,Employee_93,51,Male,HR,Recruiter,101807,2020-01-04,,5
EMP094,Employee_94,54,Non-binary,Engineering,DevOps Engineer,103684,2022-11-13,,1
EMP095,Employee_95,50,Non-binary,Operations,Coordinator,77392,2019-10-24,,5
EMP096,Employee_96,28,Female,Sales,Sales Executive,100784,2023-10-13,,5
EMP097,Employee_97,58,Non-binary,Operations,Operations Manager,42528,2021-05-08,2021-11-13,4
EMP098,Employee_98,53,Female,Operations,Project Manager,68045,2021-09-04,2022-08-02,5
EMP099,Employee_99,24,Male,Marketing,Marketing Manager,103223,2022-11-24,,5
EMP100,Employee_100,49,Male,Operations,Operations Manager,71569,2023-04-02,,1
EMP101,Employee_101,47,Male,Sales,Sales Representative,104199,2021-08-17,,3
EMP102,Employee_102,27,Non-binary,HR,HR Specialist,105756,2023-05-14,,4
EMP103,Employee_103,27,Female,Finance,Financial Analyst,105979,2019-05-13,,4
EMP104,Employee_104,33,Male,Finance,Finance Manager,75164,2018-11-12,2020-09-07,3
EMP105,Employee_105,48,Female,Engineering,DevOps Engineer,68663,2020-10-06,,4
EMP106,Employee_106,24,Male,Operations,Coordinator,43706,2018-01-31,2019-08-05,1
EMP107,Employee_107,41,Non-binary,Operations,Coordinator,109387,2019-10-20,,2
EMP108,Employee_108,31,Non-binary,Sales,Account Manager,50764,2023-08-02,,1
EMP109,Employee_109,42,Female,HR,Recruiter,84303,2023-07-05,,2
EMP110,Employee_110,36,Male,Finance,Accountant,51024,2018-07-19,2020-11-06,4
EMP111,Employee_111,41,Male,Engineering,QA Engineer,83078,2019-08-22,,3
EMP112,Employee_112,26,Non-binary,Engineering,Software Engineer,76311,2023-11-21,,5
EMP113,Employee_113,40,Non-binary,Operations,Operations Manager,78611,2021-06-25,,5
EMP114,Employee_114,53,Male,Finance,Financial Analyst,84227,2018-02-16,,2
EMP115,Employee_115,46,Male,Marketing,Content Writer,82277,2020-08-13,,4
EMP116,Employee_116,37,Female,Operations,Coordinator,92676,2019-02-01,,3
EMP117,Employee_117,36,Female,Marketing,Marketing Manager,55604,2021-06-02,,1
EMP118,Employee_118,22,Male,Finance,Financial Analyst,91359,2018-10-27,,2
EMP119,Employee_119,45,Male,Marketing,SEO Specialist,49045,2023-10-23,,1
EMP120,Employee_120,32,Female,Sales,Sales Executive,106291,2023-10-16,,1
EMP121,Employee_121,48,Female,Sales,Sales Executive,86831,2019-05-10,,4
EMP122,Employee_122,49,Non-binary,HR,HR Specialist,46035,2023-06-20,,4
EMP123,Employee_123,51,Male,Marketing,SEO Specialist,52084,2021-10-11,2024-01-19,1
EMP124,Employee_124,60,Female,Engineering,Software Engineer,109715,2019-04-30,,3
EMP125,Employee_125,52,Male,Marketing,Content Writer,65303,2021-02-19,,3
EMP126,Employee_126,36,Male,Operations,Operations Manager,76094,2023-07-05,,2
EMP127,Employee_127,50,Female,Finance,Accountant,84279,2023-12-30,,4
EMP128,Employee_128,24,Female,Marketing,SEO Specialist,83017,2018-03-13,2021-08-05,2
EMP129,Employee_129,48,Non-binary,Sales,Sales Representative,85206,2018-02-24,,5
EMP130,Employee_130,44,Non-binary,Finance,Finance Manager,84220,2023-03-18,2024-03-15,3
EMP131,Employee_131,43,Non-binary,HR,HR Specialist,59622,2020-11-18,,3
EMP132,Employee_132,29,Male,Marketing,SEO Specialist,94706,2019-05-24,,3
EMP133,Employee_133,48,Female,Engineering,QA Engineer,110346,2023-01-01,,1
EMP134,Employee_134,22,Non-binary,Engineering,QA Engineer,70123,2018-05-19,,1
EMP135,Employee_135,48,Female,HR,HR Specialist,78996,2018-09-17,,3
EMP136,Employee_136,60,Non-binary,Engineering,Software Engineer,93206,2023-03-01,,1
EMP137,Employee_137,49,Non-binary,HR,HR Manager,74954,2019-09-17,,3
EMP138,Employee_138,40,Male,Sales,Sales Executive,89453,2019-03-05,,3
EMP139,Employee_139,29,Female,HR,Recruiter,62786,2023-06-02,,5
EMP140,Employee_140,36,Female,Sales,Sales Executive,109337,2018-12-24,,2
EMP141,Employee_141,51,Non-binary,Marketing,SEO Specialist,91059,2019-12-28,,3
EMP142,Employee_142,22,Female,Finance,Financial Analyst,65323,2019-11-03,,4
EMP143,Employee_143,56,Male,Operations,Coordinator,74210,2021-09-15,2023-06-05,5
EMP144,Employee_144,28,Male,HR,Recruiter,42873,2023-08-06,,1
EMP145,Employee_145,40,Male,HR,HR Specialist,82622,2018-07-10,,5
EMP146,Employee_146,28,Male,Marketing,Content Writer,79185,2020-12-03,,4
EMP147,Employee_147,28,Non-binary,Operations,Project Manager,116349,2020-12-20,2021-08-10,2
EMP148,Employee_148,57,Non-binary,Sales,Sales Representative,111161,2023-06-20,2023-11-30,5
EMP149,Employee_149,34,Non-binary,Sales,Sales Executive,89897,2022-01-02,,5
EMP150,Employee_150,50,Male,Operations,Coordinator,84267,2018-03-28,,4
EMP151,Employee_151,28,Male,Operations,Project Manager,93966,2021-01-05,,2
EMP152,Employee_152,50,Non-binary,Finance,Accountant,115179,2019-10-03,2021-03-27,1
EMP153,Employee_153,45,Female,Finance,Accountant,79792,2019-12-12,,4
EMP154,Employee_154,35,Non-binary,HR,Recruiter,89277,2020-07-27,,1
EMP155,Employee_155,55,Male,Sales,Sales Representative,93475,2023-08-17,,2
EMP156,Employee_156,22,Female,Operations,Project Manager,69386,2018-02-01,,2
EMP157,Employee_157,39,Non-binary,Engineering,DevOps Engineer,76921,2022-10-22,2025-10-01,1
EMP158,Employee_158,49,Male,Operations,Project Manager,95789,2018-03-15,,2
EMP159,Employee_159,43,Female,Operations,Operations Manager,84283,2020-01-12,2021-02-08,5
EMP160,Employee_160,55,Male,Marketing,SEO Specialist,82051,2018-05-11,,1
EMP161,Employee_161,51,Female,Operations,Operations Manager,64789,2023-09-24,2024-10-16,5
EMP162,Employee_162,27,Male,Marketing,Content Writer,69652,2019-08-18,,4
EMP163,Employee_163,41,Female,HR,HR Manager,51982,2018-04-13,,5
EMP164,Employee_164,46,Female,Finance,Accountant,116757,2023-08-15,,5
EMP165,Employee_165,29,Female,Operations,Project Manager,100474,2021-01-24,,3
EMP166,Employee_166,44,Male,Engineering,Software Engineer,56997,2022-08-05,,1
EMP167,Employee_167,29,Female,Finance,Finance Manager,49149,2020-04-03,,1
EMP168,Employee_168,58,Female,Sales,Sales Representative,118895,2023-03-21,2024-01-09,1
EMP169,Employee_169,54,Female,Sales,Sales Executive,68236,2022-08-30,,2
EMP170,Employee_170,32,Female,Engineering,Software Engineer,112950,2023-06-04,2025-02-14,2
EMP171,Employee_171,22,Female,HR,HR Manager,107667,2018-05-16,2022-01-03,2
EMP172,Employee_172,46,Male,Sales,Account Manager,92457,2018-02-27,,1
EMP173,Employee_173,40,Non-binary,Engineering,DevOps Engineer,105296,2019-10-28,2023-08-05,1
EMP174,Employee_174,26,Non-binary,Marketing,SEO Specialist,52101,2018-09-22,,3
EMP175,Employee_175,41,Female,Engineering,Software Engineer,54608,2021-12-18,,5
EMP176,Employee_176,28,Male,Marketing,Content Writer,48128,2022-07-16,,5
EMP177,Employee_177,33,Male,Operations,Coordinator,72797,2021-04-08,,3
EMP178,Employee_178,57,Male,Engineering,QA Engineer,93393,2020-09-17,,1
EMP179,Employee_179,33,Non-binary,Sales,Account Manager,86509,2019-05-19,,4
EMP180,Employee_180,28,Male,Finance,Finance Manager,117036,2019-08-25,,4
EMP181,Employee_181,23,Non-binary,Engineering,QA Engineer,54343,2023-03-04,,3
EMP182,Employee_182,40,Female,Operations,Coordinator,64722,2021-08-08,,4
EMP183,Employee_183,24,Non-binary,Engineering,Technical Lead,82355,2020-01-24,,2
EMP184,Employee_184,35,Male,Sales,Account Manager,56779,2021-11-11,,5
EMP185,Employee_185,57,Female,Marketing,Content Writer,50148,2021-07-22,,2
EMP186,Employee_186,53,Non-binary,Engineering,DevOps Engineer,46481,2018-09-05,,5
EMP187,Employee_187,44,Male,Finance,Finance Manager,58794,2018-05-19,,4
EMP188,Employee_188,36,Female,HR,HR Specialist,66912,2019-10-26,2022-08-09,2
EMP189,Employee_189,30,Male,Operations,Operations Manager,92323,2018-03-10,,1
EMP190,Employee_190,38,Female,Operations,Operations Manager,97585,2022-07-16,,4
EMP191,Employee_191,54,Female,Finance,Finance Manager,100080,2021-10-01,,3
EMP192,Employee_192,51,Non-binary,Engineering,DevOps Engineer,87119,2018-09-08,,2
EMP193,Employee_193,52,Non-binary,Engineering,DevOps Engineer,76484,2023-08-18,,3
EMP194,Employee_194,56,Female,Sales,Account Manager,101982,2023-03-29,,1
EMP195,Employee_195,39,Female,Marketing,Content Writer,111945,2019-06-02,,3
EMP196,Employee_196,48,Non-binary,Finance,Finance Manager,56520,2018-11-20,,1
EMP197,Employee_197,44,Female,Operations,Project Manager,66861,2019-03-27,2023-03-25,1
EMP198,Employee_198,46,Female,Engineering,QA Engineer,85487,2021-11-03,,2
EMP199,Employee_199,43,Non-binary,Sales,Sales Representative,43211,2023-05-06,,4
