EmployeeID,Name,Age,Gender,Department,JobRole,Salary,HireDate,ExitDate,PerformanceRating
EMP001,Employee_1,57,Male,HR,Recruiter,63430,2022-10-24,2024-06-30,3
EMP002,Employee_2,34,Non-binary,Engineering,Software Engineer,118846,2020-06-06,,5
EMP003,Employee_3,56,Non-binary,HR,Recruiter,50054,2020-02-23,,5
EMP004,Employee_4,30,Female,Marketing,Content Writer,44272,2023-05-27,,5
EMP005,Employee_5,27,Female,HR,HR Specialist,73314,2021-05-17,,2
EMP006,Employee_6,40,Male,Engineering,Technical Lead,104023,2019-03-09,2022-06-11,2
EMP007,Employee_7,50,Female,Engineering,Technical Lead,61248,2019-05-16,,4
EMP008,Employee_8,37,Non-binary,Sales,Account Manager,62903,2019-01-27,,5
EMP009,Employee_9,28,Non-binary,Engineering,Software Engineer,75453,2019-11-01,,3
EMP010,Employee_10,41,Male,Sales,Sales Representative,104092,2019-06-20,,3
EMP011,Employee_11,57,Female,Engineering,Technical Lead,66445,2021-11-04,2025-10-28,5
EMP012,Employee_12,56,Female,Finance,Accountant,51547,2023-05-02,,5
EMP013,Employee_13,24,Male,Finance,Accountant,84983,2019-12-07,,1
EMP014,Employee_14,46,Male,Marketing,SEO Specialist,86253,2023-06-02,,5
EMP015,Employee_15,53,Non-binary,Engineering,Technical Lead,113345,2021-04-06,,4
EMP016,Employee_16,45,Non-binary,Engineering,Technical Lead,98051,2021-12-08,2022-04-12,3
EMP017,Employee_17,56,Male,Engineering,QA Engineer,45050,2021-12-08,,1
EMP018,Employee_18,27,Male,Sales,Account Manager,102002,2019-06-28,,1
EMP019,Employee_19,53,Non-binary,Finance,Accountant,78565,2022-06-30,,2
EMP020,Employee_20,35,Male,Operations,Operations Manager,100486,2020-11-28,,3
EMP021,Employee_21,51,Female,Marketing,Content Writer,119403,2020-11-22,2021-03-16,2
EMP022,Employee_22,47,Male,Sales,Sales Executive,75327,2018-06-19,,1
EMP023,Employee_23,55,Non-binary,HR,HR Manager,57816,2019-03-09,,2
EMP024,Employee_24,35,Male,Operations,Operations Manager,78120,2023-05-11,,4
EMP025,Employee_25,28,Non-binary,Engineering,Software Engineer,96138,2020-03-17,,5
EMP026,Employee_26,25,Non-binary,Marketing,Marketing Manager,119917,2018-06-03,2022-02-10,4
EMP027,Employee_27,26,Non-binary,Finance,Finance Manager,92954,2019-02-26,,4
EMP028,Employee_28,25,Male,Finance,Financial Analyst,98202,2021-11-25,2023-09-10,2
EMP029,Employee_29,53,Non-binary,Operations,Project Manager,75364,2019-11-05,,4
EMP030,Employee_30,49,Male,Operations,Project Manager,90882,2018-04-20,,4
EMP031,Employee_31,51,Male,HR,HR Specialist,83996,2023-03-27,,4
EMP032,Employee_32,54,Male,HR,HR Specialist,81907,2022-11-28,,3
EMP033,Employee_33,52,Female,Operations,Coordinator,102201,2020-08-16,,1
EMP034,Employee_34,45,Female,Sales,Sales Representative,106843,2021-09-17,,1
EMP035,Employee_35,34,Male,Engineering,Software Engineer,111882,2021-04-02,,3
EMP036,Employee_36,43,Male,Finance,Accountant,40636,2023-05-23,,3
EMP037,Employee_37,47,Female,Sales,Account Manager,85827,2021-11-25,,5
EMP038,Employee_38,40,Female,Engineering,Technical Lead,71183,2020-06-25,,4
EMP039,Employee_39,44,Non-binary,Sales,Sales Representative,78564,2019-10-06,2020-10-14,4
EMP040,Employee_40,56,Female,Sales,Account Manager,49969,2023-11-14,,1
EMP041,Employee_41,54,Female,Finance,Finance Manager,74170,2021-05-28,,5
EMP042,Employee_42,31,Non-binary,Engineering,Technical Lead,65910,2020-04-25,,5
EMP043,Employee_43,42,Male,HR,HR Manager,57139,2018-10-10,,5
EMP044,Employee_44,31,Non-binary,Engineering,DevOps Engineer,76788,2021-06-23,,3
EMP045,Employee_45,24,Non-binary,Operations,Coordinator,96223,2021-11-03,,3
EMP046,Employee_46,47,Male,HR,Recruiter,104384,2022-04-14,,2
EMP047,Employee_47,40,Female,HR,HR Manager,76736,2019-07-27,,4
EMP048,Employee_48,35,Female,HR,HR Specialist,63747,2023-11-03,,5
EMP049,Employee_49,44,Non-binary,Operations,Operations Manager,41734,2021-01-04,,5
EMP050,Employee_50,34,Non-binary,Engineering,Software Engineer,81577,2020-07-01,,4
EMP051,Employee_51,40,Non-binary,Marketing,SEO Specialist,81671,2018-12-24,,5
EMP052,Employee_52,46,Female,Engineering,QA Engineer,92561,2023-02-09,,2
EMP053,Employee_53,41,Non-binary,Operations,Project Manager,114894,2022-01-05,,1
EMP054,Employee_54,33,Female,Marketing,Content Writer,103469,2018-09-05,,2
EMP055,Employee_55,31,Male,Finance,Financial Analyst,88231,2018-03-19,,4
EMP056,Employee_56,53,Female,Operations,Coordinator,114173,2021-05-15,,4
EMP057,Employee_57,24,Male,HR,Recruiter,57714,2021-11-07,,4
EMP058,Employee_58,57,Female,Engineering,Technical Lead,94692,2018-11-21,,2
EMP059,Employee_59,45,Male,Marketing,Marketing Manager,81991,2019-03-21,,1
EMP060,Employee_60,28,Non-binary,Marketing,Content Writer,60270,2021-11-19,,2
EMP061,Employee_61,42,Non-binary,HR,HR Manager,77712,2023-11-04,,5
EMP062,Employee_62,23,Male,Operations,Coordinator,101460,2020-12-01,,3
EMP063,Employee_63,28,Female,Operations,Project Manager,96934,2020-03-01,,3
EMP064,Employee_64,58,Male,Marketing,Marketing Manager,81094,2020-09-18,,5
EMP065,Employee_65,29,Male,Operations,Operations Manager,46138,2023-03-24,,2
EMP066,Employee_66,49,Male,Operations,Operations Manager,108375,2019-11-03,,1
EMP067,Employee_67,27,Non-binary,Operations,Project Manager,92303,2019-10-15,,5
EMP068,Employee_68,58,Male,Sales,Account Manager,67896,2018-04-02,,5
EMP069,Employee_69,29,Non-binary,Engineering,QA Engineer,90972,2019-06-15,,2
